Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU),Aphelion Distance (miles),Perihelion Distance (miles)
(2000 LD3),2.5076789934143817,0.7409139926398867,37.189624704773045,11,9,631.5,0.3731973784410575,233103325.21444312,34690863.58516549
(2000 FP10),1.7818246666611668,0.2374181992928285,23.57191878344399,12,7,631.1,1.098082332733963,165630950.30847922,102073129.69153309
(2002 VO69),1.9415303806625617,0.3486917757257289,20.93955127570986,9,8,630.9,0.9376009606964784,180476523.8795939,87155454.20150587
(1991 VA),1.952817704698022,0.3571435574483908,6.60387722952647,12,8,630.5,0.9250174277467392,181525746.19726235,85985741.73781615
(2002 TH68),1.800626522972711,0.2542467252004873,19.938995239104443,19,6,628.3,1.07062119375525,167378692.04015025,99520457.34913003
(2003 JY2),2.2995272708572547,0.6042648700318417,4.9525004469161065,9,8,626.8,0.5672403232141823,213754413.80887443,52728282.1621865
(1993 FA1),1.8387403690231532,0.2890171342100115,20.45750637078046,12,8,622.3,1.014193576110238,170921595.36804894,94275182.59844433
(1991 TU),1.895868145642371,0.3344269129372572,7.733662207388832,9,9,618.5,0.9456035412097838,176231953.96140143,87899340.53338757
(2001 LD),1.9462888696971232,0.3742179206739341,30.07353774606891,15,8,615.6,0.8862878860224328,180918853.0692014,82385605.9215189
(1998 HM1),1.913337429721345,0.3593663175354227,3.24217605299239,11,8,609.9,0.9017057341997544,177855825.36544427,83818784.44525479
(2001 OC36),2.0771390683403492,0.4776138587005849,2.298897121633333,10,8,608.8,0.7343384446913537,193082138.9159183,68261022.93790314
(1991 JR),1.772546440595873,0.2609650565290499,10.1443441689445,15,8,608.8,1.038866027050152,164768485.3145182,96568630.19296815
(2002 LX64),2.243184647085871,0.5965674479206386,5.205089485098764,3,9,608.3,0.566824601201614,208517039.73232508,52689638.386907056
(2001 WV1),2.035132610207865,0.4519814651809326,1.5008241380132032,10,8,606.1,0.7681161350566147,189177394.68953267,71400855.41362429
(1995 UB),1.9783275936186102,0.4124597131257796,8.979980709698333,12,7,605.5,0.8229241167619461,183897038.51532084,76495575.59804861
