Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU)
(2002 DC3),2.3857076282627796,0.4028953339553256,3.370000830554935,8,9,810.0024818358884,1.0154122849904939
(1998 UM1),2.374343974524013,0.4000452876535179,4.84854650467233,11,8,806.6790063743038,1.017466269705192
(2001 YR3),2.3305371541630007,0.3770536397401069,23.45562425046225,9,9,804.1854054456618,1.054279656027263
(1995 NA),2.342698240536675,0.3902395371753264,12.78566454037149,13,9,798.9847699638399,1.0275098105111948
(2002 XF40),2.397931785039219,0.4263901000141216,10.11138842705195,6,9,796.1523650674446,0.964306616665166
(2001 CA21),2.953992923854813,0.7753789280052502,4.95654724000439,12,9,783.927701769413,0.3737394010678554
(1998 UR),2.279001720517653,0.3795005324777705,17.39456326472516,14,9,775.5907087403651,1.025095185373722
(2002 CY9),2.486580179969097,0.5081871534167793,41.96799052037302,9,7,773.2488318068354,0.8108622817781476
(1994 VH8),2.3825061489780683,0.4476581539899516,3.4039222105145566,11,9,771.1705584662033,0.9090252701094322
(1999 LE6),2.18580451101659,0.3302728205749209,27.14235360478683,12,7,769.3152241846468,1.100445462987875
(1998 BR26),2.442028495815412,0.4889756094791248,12.246586351473892,13,7,767.1727041453257,0.8381172369540927
(2001 BB40),2.274186575710551,0.3866482196613914,16.73597714121066,11,8,767.1638265157652,1.005933852044211
(1993 BD3),2.2499747425959513,0.3754149624309116,0.8896105188295931,12,8,764.2127418550201,1.021728421981146
(2001 OF25),2.19881119173118,0.3507918714116025,20.37532899234105,12,7,758.5735179732173,1.0567772349794151
(1998 WY1),2.190292885714293,0.3568551955404495,24.65696003748272,11,8,749.1201220061138,1.038191469746905
(1996 VZ4),2.189423593389609,0.3625339507812559,24.282140641699357,13,9,743.998600584397,1.024329123941548
(1997 VG6),2.5107027114553184,0.5630234561122184,18.483784556137373,12,9,743.6064035873769,0.7019204921660872
(2003 GD),2.191628325857088,0.3669599268782961,31.34990360669412,15,8,741.5067509951692,1.014944570339033
162038 (1996 DH),2.0257783962053706,0.2765906966720856,17.23118191295469,184,1,730.144498367798,1.1479536409876392
(1999 TM12),2.3216777800870743,0.4630771993033642,28.587449187634764,11,9,730.1304833107203,0.8520136439779411
(1999 TO13),2.272826787823756,0.4358096615893589,20.24694982703312,23,8,727.4491301217023,0.8930897659175904
(2002 XV90),2.178127029746108,0.377270938199526,9.975201449251136,9,8,726.4306473033314,0.9848338217963232
(1999 TV16),2.2251966804316132,0.40992456880646994,1.104371330131835,11,7,724.1978218542993,0.9312795306543282
(2002 VZ91),2.183017111791774,0.3846317219661288,3.4861802837011737,8,8,723.0739593305783,0.9701926221177828
(2000 SB45),2.187049479288497,0.3984982570663541,3.667304676140447,11,8,714.3210452972265,0.9406619329177592
(2003 GR22),2.520033561568253,0.6139034812794636,6.223638465870974,8,9,712.6750852506,0.6028713590784656
(2002 CV11),2.15571441445207,0.3924685958635735,17.02773821661109,11,9,703.5697381172363,0.9405341054151244
(2001 QF96),2.105537500596831,0.3629198231973139,6.650770897593273,16,7,701.3542543457227,0.9842077136996172
(1999 FR19),2.2800708383796318,0.4766341869081271,20.81482032259572,11,9,700.8281836614943,0.8081291485836836
(2000 JX8),2.043394902211305,0.3317748474242678,5.9829563066978535,11,8,694.1937075818488,1.025284321102385
